#date time in1_0 in1_1 in1_2 out1_0 out1_1 out1_2
2016/11/22 23:09:59.262957 -1E+00 1.422465215E-02 1E+00 -1E+00 1.172412825E-02 1E+00 
2016/11/22 23:10:03.059956 -1E+00 2.042229988E-01 1E+00 -1E+00 2.017223674E-01 1E+00 
2016/11/22 23:10:08.520062 -1E+00 4.7672317324999997E-01 1E+00 -1E+00 4.7422208870000004E-01 1E+00 
2016/11/22 23:10:12.064214 -1E+00 6.5422289645E-01 1E+00 -1E+00 6.517229119E-01 1E+00 
2016/11/22 23:10:15.512369 -1E+00 8.267231177999999E-01 1E+00 -1E+00 8.2422279685E-01 1E+00 
2016/11/22 23:10:19.014219 -1E+00 1.0017235058E+00 1E+00 -1E+00 9.9922323085E-01 1E+00 
2016/11/22 23:10:23.267048 -1E+00 1.2142243007999998E+00 1E+00 -1E+00 1.21172450775E+00 1E+00 
2016/11/22 23:10:26.811502 -1E+00 1.3917227711E+00 1E+00 -1E+00 1.38922381055E+00 1E+00 
2016/11/22 23:10:31.012845 -1E+00 1.60172420625E+00 1E+00 -1E+00 1.5992240351999998E+00 1E+00 
2016/11/22 23:10:33.793696 1E+00 1.74172398485E+00 1E+00 1E+00 1.7367239691999998E+00 1E+00 
2016/11/22 23:10:37.294004 1E+00 1.9167235112499998E+00 1E+00 1E+00 1.91172420415E+00 1E+00 
2016/11/22 23:10:44.046597 1E+00 2.2542241353000003E+00 1E+00 1E+00 2.24922415105E+00 1E+00 
2016/11/22 23:10:47.618642 1E+00 2.4317239647499997E+00 1E+00 1E+00 2.4292238046000003E+00 1E+00 
2016/11/22 23:10:55.391051 1E+00 2.8217241248500002E+00 1E+00 1E+00 2.8167242352999997E+00 1E+00 
2016/11/22 23:10:59.542510 1E+00 3.02922418775E+00 1E+00 1E+00 3.0242246380499997E+00 1E+00 
2016/11/22 23:11:02.298580 1E+00 3.1667225561E+00 1E+00 1E+00 3.16172396475E+00 1E+00 
2016/11/22 23:11:06.787994 1E+00 3.3917241550500004E+00 1E+00 1E+00 3.3367242569E+00 1E+00 
2016/11/22 23:11:10.797406 1E+00 3.59172425755E+00 1E+00 1E+00 3.58672469105E+00 1E+00 
2016/11/22 23:11:15.299635 1E+00 3.8167241083500003E+00 1E+00 1E+00 3.7617240962499996E+00 1E+00 
2016/11/22 23:11:18.545682 1E+00 3.9792236541999997E+00 1E+00 1E+00 3.9742240592500004E+00 1E+00 
2016/11/22 23:11:28.082338 1E+00 4.45672420085E+00 1E+00 1E+00 4.44922362625E+00 1E+00 
2016/11/22 23:11:30.791616 1E+00 4.5917238976E+00 1E+00 1E+00 4.586724128649999E+00 1E+00 
2016/11/22 23:11:35.046778 1E+00 4.8042238289E+00 1E+00 1E+00 4.7992242995E+00 1E+00 
2016/11/22 23:11:38.054949 1E+00 4.95422411595E+00 1E+00 1E+00 4.94922408945E+00 1E+00 
2016/11/22 23:11:43.386311 1E+00 5.221724201E+00 1E+00 1E+00 5.21672348085E+00 1E+00 
2016/11/22 23:11:46.103063 1E+00 5.3567234501500005E+00 1E+00 1E+00 5.351723636199999E+00 1E+00 
2016/11/22 23:11:50.615137 1E+00 5.581724184E+00 1E+00 1E+00 5.579223861199999E+00 1E+00 
2016/11/22 23:11:55.041019 1E+00 5.80422404415E+00 1E+00 1E+00 5.74922403025E+00 1E+00 
2016/11/22 23:12:01.935892 1E+00 6.149222722449999E+00 1E+00 1E+00 6.1367241796E+00 1E+00 
2016/11/22 23:12:04.542489 1E+00 6.279222508E+00 1E+00 1E+00 6.274224186750001E+00 1E+00 
2016/11/22 23:12:07.543522 1E+00 6.4292257923E+00 1E+00 1E+00 6.424224123099999E+00 1E+00 
2016/11/22 23:12:12.794115 1E+00 6.691722889099999E+00 1E+00 1E+00 6.63672295465E+00 1E+00 
2016/11/22 23:12:15.306576 1E+00 6.8167229357500005E+00 1E+00 1E+00 6.811722986300001E+00 1E+00 
2016/11/22 23:12:20.543601 1E+00 7.0792228851E+00 1E+00 1E+00 7.07422291015E+00 1E+00 
2016/11/22 23:12:23.297223 1E+00 7.21672309715E+00 1E+00 1E+00 7.2117229624000005E+00 1E+00 
2016/11/22 23:12:26.018039 -1E+00 7.3517232095E+00 1E+00 -1E+00 7.349222932349999E+00 1E+00 
2016/11/22 23:12:29.524405 -1E+00 7.526723088449999E+00 1E+00 -1E+00 7.52422297445E+00 1E+00 
2016/11/22 23:12:32.263585 -1E+00 7.66422308165E+00 1E+00 -1E+00 7.661723026849999E+00 1E+00 
2016/11/22 23:12:35.015270 -1E+00 7.8017236798E+00 1E+00 -1E+00 7.7992229043500005E+00 1E+00 
2016/11/22 23:12:38.763769 -1E+00 7.98922317745E+00 1E+00 -1E+00 7.98672284475E+00 1E+00 
2016/11/22 23:12:41.526912 -1E+00 8.12672313685E+00 1E+00 -1E+00 8.12422294875E+00 1E+00 
2016/11/22 23:12:46.759069 -1E+00 8.389222791E+00 1E+00 -1E+00 8.3367229494E+00 1E+00 
2016/11/22 23:12:49.263660 -1E+00 8.5142230998E+00 1E+00 -1E+00 8.5117230798E+00 1E+00 
